Console,Title,Usedprice,Review Score,US Sales (millions)
Nintendo DS,Super Mario 64 DS,24.95,85,4.69
Sony PSP,Lumines: Puzzle Fusion,14.95,89,0.56
Nintendo DS,WarioWare Touched!,22.95,81,0.54
Sony PSP,Hot Shots Golf: Open Tee,12.95,81,0.49
Nintendo DS,Spider-Man 2,14.95,61,0.45
Nintendo DS,The Urbz: Sims in the City,12.95,67,0.41
Sony PSP,Ridge Racer,19.95,88,0.36
Sony PSP,Metal Gear Ac!d,17.95,75,0.34
Nintendo DS,Madden NFL 2005,8.95,68,0.25
Nintendo DS,Pok�mon Dash,24.95,46,0.22
Sony PSP,Dynasty Warriors,14.95,62,0.2
Nintendo DS,Feel the Magic XY/XX,8.95,75,0.16
Nintendo DS,Ridge Racer DS,9.95,63,0.15
Sony PSP,Darkstalkers Chronicle: The Chaos Tower,14.95,74,0.14
Sony PSP,Ape Escape Academy,14.95,51,0.13
Nintendo DS,Polarium,8.95,73,0.12
Nintendo DS,Asphalt: Urban GT,14.95,60,0.11
Nintendo DS,Ping Pals,7.95,28,0.11
Nintendo DS,Zoo Keeper,14.95,74,0.1
Nintendo DS,Mr. DRILLER: Drill Spirits,14.95,72,0.09
Nintendo DS,Sprung,8.95,48,0.06
Sony PSP,Armored Core: Formula Front - Extreme Battle,16.95,66,0.05
Nintendo DS,Puyo Pop Fever,19.95,76,0.04
Nintendo DS,Mario Kart DS,29.95,91,9.99
Nintendo DS,Nintendogs,26.95,83,9.72
Nintendo DS,Brain Age: Train Your Brain in Minutes a Day!,17.95,77,5.07
Nintendo DS,Brain Age�: More Training in Minutes a Day!,17.95,77,3.65
Sony PSP,Grand Theft Auto: Liberty City Stories,17.95,88,2.97
Nintendo DS,Animal Crossing: Wild World,24.95,86,2.6
Nintendo DS,Big Brain Academy,16.95,74,1.77
X360,Call of Duty 2,17.95,89,1.69
Sony PSP,Midnight Club 3: DUB Edition,14.95,74,1.69
Sony PSP,Need for Speed: Most Wanted 5-1-0,14.95,72,1.67
Nintendo DS,Pok�mon Mystery Dungeon: Blue Rescue Team,14.95,62,1.22
Nintendo DS,Sonic Rush,14.95,82,1.2
Sony PSP,Star Wars: Battlefront II,16.95,69,1.09
Sony PSP,SOCOM: U.S. Navy SEALs - Fireteam Bravo,14.95,82,1.07
X360,Need for Speed: Most Wanted,17.95,83,0.95
Nintendo DS,Zoo Tycoon DS,12.95,44,0.92
Nintendo DS,The Sims 2,17.95,70,0.83
Sony PSP,Namco Museum Battle Collection,17.95,73,0.77
Nintendo DS,Mario & Luigi: Partners in Time,29.95,86,0.75
Sony PSP,Madden NFL 06,7.95,75,0.75
Sony PSP,Need for Speed Underground: Rivals,17.95,74,0.73
Sony PSP,Twisted Metal: Head-On,14.95,79,0.73
X360,Perfect Dark Zero,17.95,79,0.7
Nintendo DS,Super Monkey Ball: Touch & Roll,15.95,63,0.7
Nintendo DS,Super Princess Peach,29.95,75,0.7
Sony PSP,Burnout Legends,14.95,86,0.68
X360,Madden NFL 06,4.95,74,0.62
Nintendo DS,Clubhouse Games,17.95,83,0.61
Sony PSP,ATV Offroad Fury: Blazin' Trails,12.95,63,0.56
Sony PSP,Untold Legends: Brotherhood of the Blade,12.95,68,0.56
Sony PSP,Tony Hawk's Underground 2: Remix,14.95,83,0.49
Sony PSP,The Sims 2,14.95,65,0.46
Sony PSP,WipEout Pure,12.95,88,0.45
Sony PSP,NBA Live 06,9.95,80,0.42
Sony PSP,WWE Smackdown vs. Raw 2006,14.95,81,0.38
X360,Dead or Alive 4,17.95,85,0.38
Nintendo DS,Phoenix Wright: Ace Attorney,24.95,81,0.38
Sony PSP,Spider-Man 2,14.95,67,0.38
Sony PSP,NFL Street 2,17.95,73,0.37
Nintendo DS,Kirby: Canvas Curse,17.95,86,0.37
X360,Battlefield 2: Modern Combat,16.95,77,0.36
Nintendo DS,Yoshi Touch & Go,17.95,73,0.36
X360,Tiger Woods PGA Tour 06,9.95,71,0.33
X360,Condemned: Criminal Origins,14.95,81,0.33
X360,Peter Jackson's King Kong: The Official Game of...,14.95,80,0.32
Nintendo DS,Castlevania: Dawn of Sorrow,17.95,89,0.31
Nintendo DS,SpongeBob SquarePants: The Yellow Avenger,13.95,67,0.31
Sony PSP,Marvel Nemesis: Rise of the Imperfects ,17.95,58,0.31
X360,Kameo: Elements of Power,11.95,79,0.31
Nintendo DS,Advance Wars: Dual Strike,17.95,90,0.3
Nintendo DS,Trauma Center: Under the Knife,15.95,81,0.3
Sony PSP,Coded Arms,12.95,59,0.3
X360,NBA LIVE 06 ,4.95,64,0.29
X360,Tony Hawk's American Wasteland,14.95,75,0.29
Nintendo DS,Star Wars: Episode III - Revenge of the Sith,16.95,73,0.28
Sony PSP,Capcom Classics Collection Remixed,17.95,72,0.28
Nintendo DS,Madagascar,14.95,66,0.27
Sony PSP,X-Men: Legends II - Rise of Apocalypse,17.95,84,0.27
X360,Quake 4,14.95,75,0.27
Nintendo DS,Pok�mon Trozei!,19.95,74,0.26
Nintendo DS,Need for Speed: Most Wanted,15.95,45,0.25
Sony PSP,Mega Man Maverick Hunter X,17.95,79,0.25
Sony PSP,MLB,9.95,80,0.24
Sony PSP,NBA Street Showdown,17.95,75,0.22
Nintendo DS,Metroid Prime Pinball,17.95,79,0.22
Sony PSP,NBA 06,9.95,72,0.22
X360,GUN ,19.95,75,0.22
X360,NBA 2K6 ,4.95,81,0.22
Sony PSP,Pinball Hall of Fame: The Gottlieb Collection,9.95,73,0.21
Nintendo DS,Harry Potter and the Goblet of Fire,17.95,68,0.21
Nintendo DS,Tony Hawk's American Sk8land,16.95,84,0.21
Sony PSP,Midway Arcade Treasures: Extended Play,14.95,63,0.21
Sony PSP,MVP Baseball,4.95,67,0.21
Sony PSP,NBA,9.95,57,0.21
Sony PSP,Tiger Woods PGA Tour,17.95,78,0.21
Sony PSP,World Series of Poker,14.95,37,0.21
Sony PSP,SSX on Tour,16.95,79,0.2
Sony PSP,Tiger Woods PGA Tour 06,9.95,80,0.2
Sony PSP,Death Jr.,9.95,61,0.19
Sony PSP,Harry Potter and the Goblet of Fire,17.95,70,0.19
Sony PSP,MediEvil Resurrection,17.95,66,0.19
Nintendo DS,"The Chronicles of Narnia: The Lion, the Witch a...",12.95,65,0.18
Nintendo DS,Shrek SuperSlam,11.95,56,0.18
Sony PSP,Virtua Tennis: World Tour,14.95,84,0.18
Sony PSP,Prince of Persia: Revelations,6.95,65,0.17
Nintendo DS,Burnout Legends,17.95,38,0.16
Nintendo DS,Meteos,15.95,88,0.16
Nintendo DS,Spyro: Shadow Legacy,17.95,50,0.15
Sony PSP,The Con,8.95,63,0.15
Sony PSP,Infected,17.95,74,0.15
Nintendo DS,Trace Memory,14.95,70,0.14
Sony PSP,Pursuit Force,14.95,75,0.14
Sony PSP,Kingdom of Paradise,12.95,72,0.13
Nintendo DS,Dragon Ball Z: Supersonic Warriors 2,22.95,66,0.13
Nintendo DS,Dragon Quest Heroes: Rocket Slime,12.95,83,0.13
Sony PSP,Dead to Rights: Reckoning,14.95,54,0.13
Sony PSP,World Championship Poker 2 featuring Howard Led...,9.95,65,0.13
X360,Amped 3,14.95,72,0.13
Nintendo DS,Break 'em All,17.95,68,0.12
Nintendo DS,Lunar: Dragon Song,14.95,59,0.12
Nintendo DS,Madden NFL 06,9.95,66,0.12
Nintendo DS,Retro Atari Classics,12.95,51,0.12
Nintendo DS,True Swing Golf,14.95,66,0.12
Sony PSP,FIFA Soccer,14.95,73,0.12
Sony PSP,Metal Gear Ac!d 2,12.95,80,0.12
Nintendo DS,ATV Quad Frenzy,14.95,35,0.11
Nintendo DS,Bomberman,17.95,75,0.11
Nintendo DS,GoldenEye: Rogue Agent,14.95,58,0.11
Nintendo DS,Need for Speed Underground 2,22.95,65,0.11
Sony PSP,FIFA Soccer 06,16.95,77,0.11
Sony PSP,Frogger: Helmet Chaos,19.95,66,0.11
Sony PSP,The Lord of the Rings: Tactics,19.95,64,0.11
Sony PSP,Rengoku: The Tower of Purgatory,12.95,43,0.11
Sony PSP,Gretzky NHL,9.95,61,0.1
X360,Ridge Racer 6,14.95,74,0.1
Nintendo DS,Ford Racing 3,14.95,49,0.1
Sony PSP,World Tour Soccer,12.95,70,0.1
X360,NHL 2K6 ,5.95,75,0.1
Nintendo DS,Bust-a-Move DS,17.95,75,0.09
Nintendo DS,Battles of Prince of Persia,14.95,64,0.09
Nintendo DS,Snood 2: On Vacation,11.95,46,0.09
Sony PSP,GripShift,9.95,70,0.09
Nintendo DS,Marvel Nemesis: Rise of the Imperfects ,14.95,34,0.08
Nintendo DS,Scooby-Doo! Unmasked,17.95,60,0.08
Nintendo DS,Viewtiful Joe: Double Trouble!,14.95,73,0.08
Sony PSP,Frantix,12.95,59,0.08
Sony PSP,The Legend of Heroes: A Tear of Vermillion,17.95,68,0.08
Sony PSP,PQ: Practical Intelligence Quotient,14.95,69,0.08
Nintendo DS,Lost in Blue,24.95,69,0.07
Sony PSP,Ghost in the Shell: Stand Alone Complex,14.95,61,0.07
Sony PSP,The Hustle: Detroit Streets,7.95,51,0.07
Nintendo DS,Dig Dug: Digging Strike,16.95,65,0.06
Nintendo DS,Frogger: Helmet Chaos,17.95,69,0.06
Nintendo DS,Mega Man Battle Network 5: Double Team DS,17.95,68,0.06
Nintendo DS,Nanostray,17.95,71,0.06
Nintendo DS,Sega Casino,17.95,61,0.06
Nintendo DS,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,17.95,58,0.06
Sony PSP,Pac-Man World 3,24.95,61,0.06
Sony PSP,Smart Bomb,14.95,45,0.06
Sony PSP,Tokobot,17.95,72,0.06
Nintendo DS,Fullmetal Alchemist: Dual Sympathy,14.95,58,0.05
Sony PSP,Exit,9.95,77,0.05
Nintendo DS,Bubble Bobble Revolution,17.95,38,0.04
Nintendo DS,Elf Bowling 1&2,17.95,12,0.02
Nintendo DS,The Rub Rabbits!,17.95,68,0.02
Nintendo DS,Rainbow Islands Revolution,14.95,54,0.02
Sony PSP,Kao Challengers,14.95,57,0.02
Nintendo DS,Electroplankton,29.95,71,0.01
Nintendo DS,LifeSigns: Surgical Unit,22.95,61,0.01
Nintendo DS,Space Invaders Revolution,13.95,49,0.01
Nintendo Wii,Wii Play,14.95,58,14.66
Nintendo DS,New Super Mario Bros.,27.95,89,10.03
Nintendo DS,Pok�mon Diamond,27.95,85,6.77
Nintendo DS,Pok�mon Pearl,26.95,85,6.77
X360,Gears of War,19.95,94,3.7
Nintendo Wii,The Legend of Zelda: Twilight Princess,39.95,95,3.33
Nintendo DS,Cooking Mama,17.95,67,2.9
X360,Marvel Ultimate Alliance,14.95,82,2.42
Sony PSP,Daxter,14.95,85,2.38
X360,The Elder Scrolls IV: Oblivion,19.95,94,2.12
X360,Madden NFL 07,4.95,80,1.77
Sony PSP,Grand Theft Auto: Vice City Stories,17.95,86,1.72
PlayStation 3,Resistance: Fall of Man,19.95,86,1.61
PlayStation 3,MotorStorm,16.95,82,1.58
X360,Call of Duty 3,16.95,82,1.51
Nintendo DS,Yoshi's Island DS,27.95,81,1.49
X360,Tom Clancy's Ghost Recon: Advanced Warfighter,14.95,90,1.46
X360,Fight Night Round 3,14.95,86,1.4
Nintendo DS,Pok�mon Ranger,19.95,69,1.36
Nintendo Wii,Rayman Raving Rabbids,17.95,76,1.26
X360,Saints Row,14.95,81,1.23
X360,Tom Clancy's Rainbow Six: Vegas,14.95,88,1.19
X360,Dead Rising,16.95,85,1.16
Nintendo Wii,Call of Duty 3,19.95,69,1.15
X360,Lost Planet: Extreme Condition,12.95,79,1.15
Nintendo DS,Mario Hoops 3 on 3,22.95,69,1.03
Nintendo DS,LEGO Star Wars II: The Original Trilogy,17.95,47,1.02
Nintendo Wii,Super Monkey Ball: Banana Blitz,14.95,74,1
Nintendo DS,The Sims 2: Pets,14.95,49,0.97
Sony PSP,Need for Speed: Carbon - Own the City,16.95,73,0.93
Nintendo Wii,WarioWare: Smooth Moves,39.95,83,0.9
PlayStation 3,Fight Night Round 3,13.95,83,0.86
Nintendo DS,Final Fantasy III,17.95,77,0.86
Sony PSP,SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,16.95,81,0.86
Sony PSP,Madden NFL 07,9.95,78,0.83
Nintendo Wii,Monster 4x4: World Circuit,12.95,51,0.82
Nintendo DS,Kirby: Squeak Squad,27.95,71,0.82
Nintendo Wii,Pok�mon Battle Revolution,39.95,53,0.81
Sony PSP,Medal of Honor: Heroes,14.95,71,0.81
Sony PSP,Tekken: Dark Resurrection,17.95,88,0.81
X360,Need for Speed: Carbon,16.95,77,0.78
Nintendo DS,Mario vs. Donkey Kong 2: March of the Minis,27.95,76,0.77
Sony PSP,Sonic Rivals,17.95,64,0.76
Sony PSP,Disney/Pixar Cars,12.95,70,0.71
X360,NCAA Football 07,4.95,79,0.7
Sony PSP,Mortal Kombat: Unchained,17.95,70,0.67
Sony PSP,MX vs. ATV: On the Edge,16.95,68,0.67
X360,Tom Clancy's Splinter Cell: Double Agent,17.95,85,0.67
Nintendo DS,Tetris DS,17.95,84,0.66
Sony PSP,LEGO Star Wars II: The Original Trilogy,17.95,83,0.61
Nintendo Wii,Red Steel,14.95,63,0.58
Nintendo DS,Metroid Prime: Hunters,27.95,85,0.58
X360,LEGO Star Wars II: The Original Trilogy,14.95,81,0.57
X360,NBA 2K7 ,4.95,84,0.56
Sony PSP,SEGA Genesis Collection,17.95,82,0.55
PlayStation 3,Call of Duty 3,19.95,80,0.52
Sony PSP,NBA Live 07,7.95,64,0.51
Nintendo Wii,GT Pro Series,14.95,41,0.49
PlayStation 3,Madden NFL 07,6.95,76,0.49
Sony PSP,SpongeBob SquarePants: The Yellow Avenger,12.95,48,0.49
Nintendo Wii,Madden NFL 07,9.95,81,0.48
Sony PSP,Fight Night Round 3,16.95,74,0.48
PlayStation 3,Need for Speed: Carbon,17.95,75,0.47
Nintendo Wii,Need for Speed: Carbon,17.95,67,0.47
X360,WWE SmackDown vs. Raw 2007,12.95,81,0.45
X360,Tiger Woods PGA Tour 07,9.95,80,0.45
X360,Viva Pi�ata,16.95,84,0.44
Nintendo Wii,SpongeBob Squarepants: Creature from the Krusty Krab,14.95,57,0.44
Sony PSP,Tony Hawk's Project 8,17.95,68,0.42
X360,Tony Hawk's Project 8,16.95,81,0.42
X360,NBA LIVE 07 ,4.95,59,0.42
Nintendo Wii,Excite Truck,19.95,72,0.4
Nintendo DS,Harvest Moon DS,17.95,67,0.4
Nintendo DS,Star Fox Command,14.95,76,0.39
Sony PSP,Metal Gear Solid: Portable Ops,17.95,87,0.39
Nintendo Wii,Marvel Ultimate Alliance,17.95,73,0.38
X360,Blazing Angels: Squadrons of WWII,16.95,66,0.37
X360,Major League Baseball 2K6,4.95,66,0.37
Sony PSP,NCAA Football 07,9.95,75,0.36
Sony PSP,MLB 06: The Show,9.95,83,0.35
PlayStation 3,Blazing Angels: Squadrons of WWII,16.95,67,0.35
Sony PSP,WWE SmackDown vs. Raw 2007,14.95,78,0.34
Nintendo DS,Rune Factory: A Fantasy Harvest Moon,24.95,78,0.34
Sony PSP,Marvel Ultimate Alliance,22.95,81,0.34
PlayStation 3,Marvel Ultimate Alliance,24.95,78,0.33
PlayStation 3,Tiger Woods PGA Tour 07,14.95,81,0.32
Sony PSP,Ace Combat X: Skies of Deception,22.95,75,0.32
Sony PSP,Killzone: Liberation,16.95,77,0.32
X360,F.E.A.R.: First Encounter Assault Recon,17.95,85,0.32
PlayStation 3,NBA 2K7,7.95,80,0.31
PlayStation 3,Tony Hawk's Project 8,14.95,76,0.3
Nintendo DS,Avatar: The Last Airbender,17.95,64,0.3
Nintendo DS,Castlevania: Portrait of Ruin,17.95,85,0.3
X360,Hitman: Blood Money,22.95,82,0.29
X360,Rockstar Games presents Table Tennis,9.95,81,0.28
Nintendo Wii,Trauma Center: Second Opinion,17.95,80,0.28
X360,Tenchu Z,14.95,56,0.28
Nintendo DS,Elite Beat Agents,9.95,87,0.27
Sony PSP,Street Fighter Alpha 3 MAX,14.95,80,0.27
X360,Blue Dragon,14.95,79,0.27
X360,The Lord of the Rings: The Battle for Middle Ea...,19.95,79,0.27
X360,Prey,14.95,79,0.27
Nintendo DS,Over the Hedge,16.95,71,0.26
Sony PSP,Capcom Classics Collection Reloaded,17.95,75,0.26
Sony PSP,FIFA Soccer 07,13.95,80,0.26
Sony PSP,Pirates of the Caribbean: Dead Man's Chest,14.95,52,0.26
X360,NHL 07 ,5.95,79,0.26
Sony PSP,Monster Hunter Freedom,12.95,71,0.25
X360,Chromehounds,14.95,71,0.25
X360,Test Drive Unlimited,17.95,82,0.25
Nintendo Wii,Dragon Ball Z: Budokai Tenkaichi 2,14.95,72,0.24
Nintendo DS,Dragon Quest Monsters: Joker,14.95,75,0.24
Nintendo DS,Pirates of the Caribbean: Dead Man's Chest,11.95,63,0.24
Sony PSP,NFL Street 3,14.95,68,0.24
Sony PSP,Syphon Filter: Dark Mirror,12.95,87,0.24
